ERROR StatusLogger No Log4j 2 configuration file found. Using default configuration (logging only errors to the console), or user programmatically provided configurations. Set system property 'log4j2.debug' to show Log4j 2 internal initialization logging. See https://logging.apache.org/log4j/2.x/manual/configuration.html for instructions on how to configure Log4j 2
2020-06-27 00:46:10,538 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:d26981f9-816d-48d2-b7c2-6087c5dedc4a for user:f45fe4e0-93e6-4058-94dc-a407fde62f3a
2020-06-27 00:46:10,548 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:54b7f73e-e070-4958-9c28-69f148ebeff7 for user:018d47d1-b1cd-4444-a1f5-315ae60af7bb
2020-06-27 00:46:10,548 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:7f6e2a31-b8b3-4ee9-99fc-b9e66dbd751d for user:a110c524-5647-4f54-b8f6-dd717450fbd0
2020-06-27 00:46:10,549 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:1eb67692-3298-4968-8dc4-21278c50d558 for user:d166ce29-a72a-47cf-b033-0cd1e3004284
2020-06-27 00:46:10,549 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:491a8d71-bf52-42a9-862b-2573a616d0a4 for user:b49147e3-f957-438d-9166-75d84f5798a0
2020-06-27 00:46:10,550 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:21e231e9-6347-4014-8519-1e386f78843e for user:836a9a05-3e00-43a7-8645-437733c1f4c6
2020-06-27 00:46:10,550 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:aaa89cf8-f160-41f9-9569-97cdc2f0f2ad for user:4adc5627-fee4-46f1-bfa3-75d15e4ac381
2020-06-27 00:46:10,550 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:ba134a7c-bff2-4058-a036-48126fadc6ed for user:8267fb18-3133-43ee-bef6-34aa0bb0a3d5
2020-06-27 00:46:10,551 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:c83ea7fd-60b1-464b-8031-c7f46b9ce6fb for user:c9bc379b-dfeb-4ab2-996b-f5b4ebbf477d
2020-06-27 00:46:10,551 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(208)) - created volume:71facbad-714f-4c1f-85d4-97d5e990369f for user:da6dfe50-fc55-47cd-8db7-42a953242ab6
