ERROR StatusLogger No Log4j 2 configuration file found. Using default configuration (logging only errors to the console), or user programmatically provided configurations. Set system property 'log4j2.debug' to show Log4j 2 internal initialization logging. See https://logging.apache.org/log4j/2.x/manual/configuration.html for instructions on how to configure Log4j 2
2020-06-25 19:29:55,335 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:0dea0012-996a-4e51-b1f6-da8af67eeb58 for user:4f7716a6-c579-4a94-a9ed-12119ca0c456
2020-06-25 19:29:55,342 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:54e4ee0e-d552-4aa7-a91e-8b02b283b020 for user:1f3a4047-d7c1-4cff-9552-235331f49c8e
2020-06-25 19:29:55,342 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:a24d8d73-7d58-4411-947b-4419fff98553 for user:e1c8830e-2053-4345-9b0b-a681a4c5bb45
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:ded95b2d-8e58-4e56-9544-428f7993ccde for user:7dcf74d2-d378-4f15-8139-a3518497b9dd
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:ad7dda18-39dd-4dc8-8505-32b2eb5df104 for user:9468deb7-e124-48de-b37a-8cb3eaac1606
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:d184ed81-ec70-4f27-bf2b-cc72784eb9f9 for user:c666db2e-de93-4e50-8da4-3ea9783373d8
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:685e150e-89b6-428c-a6e3-12f59835fbd2 for user:db106ea2-4cae-4b9c-ae31-0a67425938f3
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:2e51dc65-c3fc-4271-9865-e11d302f32a8 for user:73b67e85-6893-4a80-a450-8fcdf0a3a9a5
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:dfc750ac-21c1-499e-ac84-d94bd09a6725 for user:7bcf34e8-dd23-4bcb-a778-add210afe9eb
2020-06-25 19:29:55,346 INFO  volume.OMVolumeCreateRequest (OMVolumeCreateRequest.java:validateAndUpdateCache(204)) - created volume:0830ef30-599b-423b-b03d-d4fdb9f39eeb for user:c5777090-b6c6-441c-986b-6dd56606c1b7
